stock,date,quantity,price,signal_type,order_type,stop_loss,take_profit,trailing_stop,duration
AAPL,2022-08-10,2,167.58,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2022-09-09,2,155.83,Sell,Market Order,0.2,0.2,0.2,Day
AAPL,2022-09-19,2,152.96,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2022-10-07,2,138.72,Sell,Market Order,0.2,0.2,0.2,Day
AAPL,2023-01-10,2,129.66,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-02-07,2,153.39,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-03-29,2,159.7,Sell,Market Order,0.2,0.2,0.2,Day
AAPL,2023-04-04,2,164.53,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-04-05,2,162.67,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-05-08,2,172.35,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-06-14,2,182.98,Sell,Market Order,0.2,0.2,0.2,Day
AAPL,2023-06-15,2,185.03,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-07-31,2,195.41,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-08-16,2,175.87,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-08-30,2,186.91,Sell,Market Order,0.2,0.2,0.2,Day
AAPL,2023-11-16,2,189.21,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2023-12-08,2,195.2,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2024-04-04,2,168.59,Buy,Market Order,0.2,0.2,0.2,Day
AAPL,2024-04-11,2,174.8,Sell,Market Order,0.2,0.2,0.2,Day
AAPL,2024-05-01,2,169.07,Buy,Market Order,0.2,0.2,0.2,Day